Type de cage,Quadrat,Plante,Fecondite
C,1,1,82
C,1,2,67
C,1,3,73
C,1,4,70
C,1,5,83
C,1,6,95
C,2,1,79
C,2,2,84
C,2,3,70
C,2,4,71
C,2,5,67
C,2,6,80
C,3,1,90
C,3,2,100
C,3,3,65
C,3,4,99
C,3,5,84
C,3,6,63
C,4,1,75
C,4,2,93
C,4,3,99
C,4,4,95
C,4,5,92
C,4,6,95
C,5,1,38
C,5,2,64
C,5,3,80
C,5,4,74
C,5,5,87
C,5,6,79
O,1,1,92
O,1,2,80
O,1,3,83
O,1,4,77
O,1,5,52
O,1,6,73
O,2,1,62
O,2,2,97
O,2,3,63
O,2,4,77
O,2,5,88
O,2,6,77
O,3,1,67
O,3,2,64
O,3,3,85
O,3,4,83
O,3,5,79
O,3,6,88
O,4,1,95
O,4,2,93
O,4,3,100
O,4,4,80
O,4,5,83
O,4,6,76
O,5,1,70
O,5,2,62
O,5,3,77
O,5,4,80
O,5,5,71
O,5,6,87
F,1,1,74
F,1,2,76
F,1,3,72
F,1,4,71
F,1,5,60
F,1,6,74
F,2,1,47
F,2,2,71
F,2,3,54
F,2,4,56
F,2,5,77
F,2,6,66
F,3,1,60
F,3,2,88
F,3,3,86
F,3,4,84
F,3,5,45
F,3,6,48
F,4,1,43
F,4,2,53
F,4,3,48
F,4,4,79
F,4,5,70
F,4,6,45
F,5,1,47
F,5,2,44
F,5,3,16
F,5,4,43
F,5,5,49
F,5,6,55
